TargetWord,Prime,Unrelated,Length_Related,SubFreq_Related,LogSubFreq_Related,LogHAL_Related,OrthoN_Related,FreqGreater_Related,BGSum_Related,BGMean_Related,POS_Related,ELP_NT_RT_Related,ELP_N_Z_Related,ELP_NT_Acc_Related,Relation1_Related,Relation2_Related,FAS_Related,BAS_Related,CueFanOut_Related,LSA_Related,LSA_Unrelated,NT_200ms_RT_Related,NT_200ms_RT_Unrelated,NT_200ms_Z_Related,NT_200ms_Z_Unrelated,NT_200ms_Acc_Related,NT_200ms_Acc_Unrelated,NT_1200ms_RT_Related,NT_1200ms_RT_Unrelated,NT_1200ms_Z_Related,NT_1200ms_Z_Unrelated,NT_1200ms_Acc_Related,NT_1200ms_Acc,NT_200ms_RT_Priming_Related,NT_200ms_Z_Priming_Related,NT_200ms_Acc_Priming_Related,NT_1200ms_RT_Priming_Related,NT_1200ms_Z_Priming_Related,NT_1200ms_Acc_Priming_Related
trash,GARBAGE,PANEL,7,26.1,3.12,9.44,0,,6613,1102.17,NN,620.89,-0.31,1,synonym,,0.456,0.526,14,0.86,0.04,502,506.3777778,-0.4831116957,-0.3023988506,1,1,621.45,478.4285714,0.4264116025,-0.2996234298,0.95,1,4.377777778,0.1807128451,0,-143.0214286,-0.7260350324,-0.05
treat,TRICK,TWIST,5,47.27,3.38,9.66,6,1,7796,1949,NN|VB,584.37,-0.59,1,fpa,,0.331,0.108,15,0.17,0.09,500.8611111,526.5789474,-0.2119537781,-0.2626394883,1,0.9473684211,503.2173913,463.875,-0.2406382279,-0.319424461,1,0.9583333333,25.71783626,-0.05068571021,0.05263157895,-39.3423913,-0.07878623311,0.04166666667
tree,PARK,PANCAKES,4,72.12,3.57,10.75,11,3,4333,1444.33,NN|VB,558.57,-0.68,1,script,,0.115,0,21,0.22,0.15,496.1136364,503.6666667,-0.3939616429,-0.5023406855,1,1,493.1538462,479.7222222,-0.3868521387,-0.5115952828,1,1,7.553030303,-0.1083790425,0,-13.43162393,-0.1247431441,0
trees,LANDSCAPE,TELEVISION,9,2.49,2.11,8.1,0,,12895,1611.88,NN,580.62,-0.64,1,script,,0.199,0,20,0.35,0.03,499.1,617.6551724,-0.5258640207,0.08436856076,1,0.9310344828,527.0384615,624.6538462,-0.08299336409,0.2261595622,1,0.9615384615,118.5551724,0.6102325815,0.06896551724,97.61538462,0.3091529263,0.03846153846
trick,MAGIC,SINKER,5,52.69,3.43,10.78,1,0,5334,1333.5,NN|VB,645.73,-0.46,1,fpa,,0.109,0.09,23,0.52,0.04,508.25,580.1538462,-0.430828223,0.1087274653,1,1,495.3636364,555.1794872,-0.2683143864,-0.0182604238,1,1,71.90384615,0.5395556883,0,59.81585082,0.2500539626,0
trip,JOURNEY,GHOUL,7,19.94,3.01,8.81,1,0,6157,1026.17,NN|VB,606.57,-0.55,1,synonym,,0.459,0.014,12,0.6,-0.02,462.6923077,571.6969697,-0.5876488838,0.02210904486,1,1,568.3333333,560.3823529,-0.08402538163,-0.2950073001,1,1,109.004662,0.6097579286,0,-7.950980392,-0.2109819185,0
trophy,AWARD,ROOM,5,12.88,2.82,9.66,1,1,4483,1120.75,NN|VB,590.88,-0.56,1,category,,0.117,0.182,24,0.21,0.17,534.3571429,528.9444444,0.03109122682,-0.08352811315,1,1,494.1578947,540.2631579,-0.2496001012,-0.1109045761,1,1,-5.412698413,-0.11461934,0,46.10526316,0.1386955251,0
trouble,MISCHIEF,VOTE,8,2.1,2.03,6.72,0,,9311,1330.14,NN,615.42,-0.48,0.96,synonym,,0.303,0,21,0.35,0.06,548.2666667,526,-0.1163332582,-0.3671961015,1,1,527.7317073,503.75,-0.1146838773,-0.1337039207,1,1,-22.26666667,-0.2508628432,0,-23.98170732,-0.01902004344,0
TRUE,FALSE,REMARK,5,21.14,3.03,0,0,,5938,1484.5,JJ,648,-0.3,0.96,antonym,,0.703,0.531,4,0.58,0.41,481.6428571,449.6764706,-0.4186656609,-0.7303568633,1,1,473.9473684,488.0588235,-0.5617124748,-0.5122745158,0.9473684211,0.9411764706,-31.96638655,-0.3116912024,0,14.11145511,0.04943795902,0.006191950464
truth,HONEST,TRY,6,72.33,3.57,10,0,,16129,3225.8,JJ|minor,586.68,-0.5,1,supraordinate,,0.182,0.247,18,0.52,0.29,435.125,549.8518519,-0.6759869477,-0.1063255669,1,1,472.0909091,472.8461538,-0.5007654196,-0.5165931321,1,0.9615384615,114.7268519,0.5696613808,0,0.7552447552,-0.01582771252,0.03846153846
